,,2019-20,2019-20,2019-20,2019-20
j,u,Dar Es Salaam,Mainland Other Urban,Mainland Rural,Zanzibar
Beef,kg,6000,6000,6000,9000
Bottled Beer,kg,4285.714286,4000,4000,
Bottled Beer,piece,,,,
Bread,kg,2211.111111,2222.222222,2000,2000
Bread,piece,,,,
"Buns, Cakes And Biscuits",kg,2120,2500,2283.42246,2000
"Buns, Cakes And Biscuits",piece,,,,
"Butter, Etc.",kg,10000,8250,6000,4000
Cassava Dry/Flour,kg,1450,1000,800,1500
Cassava Fresh,kg,782.3426573,769.2307692,625,1000
Cassava Fresh,piece,,,,
Chicken,kg,9000,9000,8000,7500
Chicken,piece,,,,
Citrus Fruits,kg,1684.210526,1666.666667,1291.666667,1500
Citrus Fruits,piece,,,,
Coconuts,kg,1458.333333,1428.571429,1250,1250
Coconuts,piece,,,,
Coffee & Cocoa,kg,20000,,10047.61905,
Cooking Oil,kg,3600,3500,3500,3000
Dairy Products,kg,2800,1366.666667,1200,
Eggs,kg,,8333.333333,,
Eggs,piece,,,,
Fish (dried),kg,6000,5000,5000,7000
Fish (dried),piece,,,,
Fish (fresh),kg,7000,4000,2857.142857,3000
Fish (fresh),piece,,,,
Goat Meat,kg,7000,7000,5000,
Groundnuts,kg,2600,2153.846154,2000,
"Honey, Syrups, etc.",kg,2333.333333,3416.666667,4180,1750
Irish Potatoes,kg,1000,1000,1000,1200
Irish Potatoes,piece,,,,
Leafy Greens,kg,1250,1093.75,976.1904762,1400
Leafy Greens,piece,,,,
Local Brews,kg,500,708.3333333,500,
"Macaroni, Spaghetti",kg,2600,2944.444444,2900,2400
Maize (flour),kg,1200,1200,1200,1300
Maize (grain),kg,1200,1000,1300,
"Maize (green, cob)",kg,1428.571429,666.6666667,946.4285714,
"Maize (green, cob)",piece,,,,
Materials For Drinks,kg,6142.857143,1383.928571,5000,
Milk (dry or canned),kg,18750,,27500,11666.66667
Milk (fresh),kg,2000,1266.666667,1000,2000
Millet & Sorghum (flour),kg,2400,1857.142857,1500,1500
Millet & Sorghum (grain),kg,,,,
Nuts,kg,9000,,11000,
Other Cereal Products,kg,1600,2352.941176,1636.363636,3000
Other Cereals,kg,1850,,512.8205128,
Other Fruits,kg,2000,1333.333333,1055.555556,1000
Other Fruits,piece,,,,
Other Meat,kg,,,3000,
Other Spices,kg,3266.666667,3333.333333,4000,7500
Other Starches,kg,,,2000,
Plantains,kg,1333.333333,833.3333333,666.6666667,2000
Plantains,piece,,,,
Pork,kg,11500,6666.666667,6000,
"Prepared Tea, Coffee",piece,,,,
Pulses,kg,2400,2000,2000,2400
Rice (husked),kg,1991.666667,1800,1800,1662.5
Rice (paddy),kg,,,,2000
Ripe Bananas,kg,1937.5,1333.333333,1111.111111,2000
Ripe Bananas,piece,,,,
Salt,kg,1000,1000,1000,800
Seeds,kg,,1600,,
Seeds,piece,,,,
Soft drinks,kg,1428.571429,1428.571429,1428.571429,1000
Soft drinks,piece,,,,
Sugar,kg,2400,2500,2800,2000
Sugarcane,kg,1000,585.7142857,333.3333333,
Sugarcane,piece,,,,
Sweet Potatoes,kg,883.9285714,790.625,666.6666667,1000
Sweet Potatoes,piece,,,,
Sweets,kg,6666.666667,6025.641026,8333.333333,15000
Sweets,piece,,,,
Tea (dry),kg,10000,11428.57143,10000,10000
Tea (dry),piece,,,,
Vegetables (fresh),kg,1633.823529,1545.454545,1500,1866.666667
Vegetables (fresh),piece,,,,
Vegetables (preserved),kg,,1339.285714,1000,
Wheat Flour,kg,1300,1400,1400,1400
Wild Birds & Insects,kg,,,,
Wine & Spirits,kg,6666.666667,14666.66667,,
Wine & Spirits,piece,,,,
Yams/Cocoyams,kg,1250,828.5714286,769.2307692,1666.666667