j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
Avocado,1600,20,70,810,120,85,6,17.38,1.3,0.67,70,0,2.57,100,6
Beans (dry),1700,98,60,500,580,325,30,7,1.2,3.4,0,0,2.15,10,8
Beans (fresh),3470,214,160,5250,1130,626,51,11.74,2.12,7.13,0,0,4.74,63,23
Beef,2510,182,0,60,70,0,19,31.5,1.6,0.9,0,28.9,3.8,0,37
Beef (roasted),2910,264,0,70,90,0,27,37.2,2.2,0.9,0,24.7,3.4,0,60
Beef Liver,1350,204,0,2900,50,39,49,131.75,27.55,1.89,49680,593,10.83,13,40
Beef Offal,850,120.7,0,50,690,0,5.9,8.81,0.64,0,0,13.9,0.14,0,14.2
Biscuits,4460,69,10,1030,430,741,28,34.7,3.26,3.5,0,0.5,0.22,0,6
Bogoya,890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2
Bongo,640,33,0,50,1620,45,1,1,1.5,0.2,370,4.4,0.36,0,6
Bread,2660,76,20,1110,1510,506,37,43.85,3.31,4.55,0,0,0.84,0,7
Cabbage (red),310,14,20,180,450,74,8,4.18,0.69,0.64,560,0,2.09,570,2
Cabbages,250,13,30,430,400,58,5,2.34,0.4,0.61,50,0,1.24,366,2
Cakes,3570,54,10,380,1300,572,15,15.33,2.42,1.86,150,0.8,0.21,2,3
Carrots,410,9,30,190,330,96,3,9.83,0.58,0.66,8350,0,1.38,59,2
Cassava (flour),3140,26,40,360,310,766,19,14,0.5,3.1,70,0,7,720,7
Cassava (fresh),1600,14,20,270,160,381,3,8.54,0.48,0.87,10,0,0.88,206,3
Chapati,2750,91,20,240,860,557,14,21.42,0.97,2.67,0,0,0.34,0,8
Chicken (off-layer),2150,186,0,60,110,0,9,68.01,1.2,0.6,420,3.1,3.5,16,13
Chicken (roasted),2390,273,0,50,150,0,13,84.87,1.68,0.63,480,3,4,0,19
Cooking Oil,8840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodo,230,25,0,850,2150,40,23,6.58,1.58,0.27,1460,0,1.92,433,9
Eggplant,240,10,30,220,90,57,2,6.49,0.37,0.39,10,0,0.84,22,2
Eggs,1430,126,0,470,530,8,18,0.7,4.78,0.69,1400,12.9,1.43,0,11
Eggs (white yolk),480,109,0,40,70,7,1,1.05,4.39,0.04,0,0.9,0.05,0,0
Eggs (yellow yolk),3170,159,0,1460,1290,36,27,0.24,5.28,1.76,3810,19.5,3.5,0,23
Fresh Fish,1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Garlic,1490,64,20,30,1810,331,17,7,1.1,2,0,0,12.35,312,12
Ghee,8760,3,0,0,40,0,0,0.03,0.05,0.01,8400,0.1,0.01,0,0
Goat (roasted),1570,297,0,60,180,0,38,51.36,6.71,1.27,0,16.3,2.74,0,55
Goat Liver,1390,204,0,2300,70,18,74,161.1,36.3,3.4,73910,900.5,9,40,47
Goat Meat,1090,206,0,50,130,0,28,37.5,4.9,1.1,0,11.3,2,0,40
Goat Offal,850,120.7,0,50,690,0,5.9,8.81,0.64,0,0,13.9,0.14,0,14.2
Green Pepper,200,9,20,100,100,46,3,4.8,0.28,0.57,180,0,2.24,804,1
Ground Nuts (in shell),4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Ground Nuts (paste),5880,251,60,740,430,196,19,134.03,1.05,0.73,0,0,5.43,0,29
Ground Nuts (pounded),5670,258,90,2400,920,161,46,120.66,1.35,6.4,0,0,3.48,0,33
Ground Nuts (shelled),4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Honey,3040,3,0,20,60,824,4,1.21,0.38,0,0,0,0.24,5,2
Irish Potatoes,770,20,20,160,120,175,8,10.54,0.32,0.8,0,0,2.95,197,3
Jackfruit (fresh),940,15,20,140,340,240,6,4,1.1,0.3,150,0,1.08,67,4
Kabalagala,2540,17,30,160,200,487,11,8.6,0.38,1.26,1100,0,4.57,320,4
Macaroni/Spaghetti,3710,130,32,180,210,747,13,17,0.6,0.9,0,0,1.42,0,14
Maize (white;cobs),1720,44,40,120,30,349,13,17.04,0.94,1.81,0,0,2.92,0,10
Maize (white;flour),3690,73,40,300,30,792,11,10,0.5,1.4,0,0,1.98,0,7
Maize (white;grains),1720,44,40,120,30,349,13,17.04,0.94,1.81,0,0,2.92,0,10
Maize (yellow;cobs),1720,44,30,90,30,349,13,17.04,0.94,1.81,50,0,2.92,0,10
Maize (yellow;flour),3690,73,40,300,30,792,11,10,0.5,1.4,110,0,1.98,0,7
Maize (yellow;grains),1720,44,30,90,30,349,13,17.04,0.94,1.81,50,0,2.92,0,10
Mangos,650,5,20,140,100,170,1,5.84,0.57,0.58,380,0,1.34,277,0
Matoke (sack),890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2
Milk (Fresh),600,32,0,50,1130,45,0,1.07,1.83,0.44,280,4.4,0.36,0,4
Milk (powdered),4960,263,0,370,9120,384,5,6.46,12.05,2.83,2570,32.5,3.02,86,33
Millet,3780,110,90,850,80,729,30,47.2,2.9,4.21,0,0,3.84,0,17
Millet Flour,3740,109,90,840,80,721,30,46.68,2.87,4.16,0,0,3.8,0,17
Mukene,960,201,0,240,100,0,6,39.03,0.63,0.41,0,15.8,1.62,0,3
Mushrooms,220,31,10,160,30,33,5,36.07,4.02,0.81,0,0.4,1.04,21,5
Ndiizi,1220,13,20,220,30,319,6,6.86,0.54,0.52,560,0,2.99,184,1
Nkejje (dried),3670,418,0,230,1320,0,26,74.68,5.41,2.14,650,317.3,7.01,16,23
Okra,580,44,20,1180,5300,90,7,2,28,2.5,610,0,0,590,20
Onions,400,11,20,190,230,93,2,1.2,0.3,0.5,0,0,1.2,74,2
Oranges,470,9,20,300,400,118,1,2.82,0.4,0.87,110,0,0.6,532,1
Other Juice (packed),450,1,0,0,1180,113,1,2.5,10.4,1.1,0,0,0.7,551,0
Passion Fruits,970,22,100,140,120,234,16,15,1.3,0,640,0,1,300,1
Peas,900,30,50,1680,1260,188,11,14.5,1.45,1.1,410,0,0.67,25,10
Peas (dry),3360,235,110,6330,1100,600,83,20.75,2.26,8.53,30,0,3.57,15,34
Perch (dried),4100,874,0,210,3610,0,41,68.52,4.51,3,370,81.4,5.14,65,50
Perch (fresh),910,194,0,50,800,0,9,15.2,1,0.7,90,19,1.2,17,11
Pineapple,450,6,0,110,130,118,3,4.7,0.29,0.78,30,0,1.06,169,1
Platains,1220,13,20,220,30,319,6,6.86,0.54,0.52,560,0,2.99,184,1
Pork,2000,195,0,50,190,0,8,44.9,2.5,8.9,20,6.3,4.6,6,19
Pork (roasted),4610,450,0,90,440,0,18,98.45,5.54,18.52,40,14.5,9.99,10,44
Pumpkin Leaves,190,32,0,360,390,23,22,9.2,1.28,0.94,970,0,2.07,110,2
Pumpkins,260,10,10,160,210,65,8,6,1.1,0.5,3690,0,0.61,90,3
Restaurant (beer),410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
Rice (brown),3620,75,30,200,330,762,18,43.08,0.43,4.13,0,0,5.09,0,20
Rice (white),3600,66,0,90,90,793,8,16,0.48,0.7,0,0,1.45,0,12
Rice flour,3660,60,20,40,100,801,4,25.9,0.21,1.38,0,0,4.36,0,8
Samosas,5930,51,20,60,340,179,8,10,0.5,0.9,280,0,0.7,10,7
Sim Sim,5730,177,118,970,9750,235,145.5,45.2,2.5,7.9,0,0,7.9,0,77.5
Sim Sim (paste),5860,181,60,1000,9600,241,192,67,2,2.4,30,0,8.16,0,73
Soda,480,0,0,0,50,123,1,0,0,0,0,0,0,0,1
Sorghum,3390,113,60,140,280,746,44,29.27,1.42,2.37,0,0,1.5,0,16
Soybeans (dry),4710,352,180,2110,1380,336,39,14.1,1.45,1,0,0,2.08,22,31
Sugar,3870,0,0,0,10,1000,0,0,0.19,0,0,0,0,0,0
Sugarcane,540,6,31,0,80,130,14,1,0.1,0.2,0,0,0,30,0
Sweet Bananas,890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2
Sweet Potatoes (dry),3430,64,110,400,1140,807,24,21.22,2.33,2.5,4960,0,7.96,71,11
Sweet Potatoes (flour),3430,64,110,400,1140,807,24,21.22,2.33,2.5,4960,0,7.96,71,11
Sweet Potatoes (fresh),1230,23,40,160,430,289,9,8,0.88,1.12,2250,0,3,34,4
"Sweet Potatoes (orange, dry)",3430,64,110,400,1140,807,24,21.22,2.33,2.5,13900,0,7.96,71,11
"Sweet Potatoes (orange, flour)",3430,64,110,400,1140,807,24,21.22,2.33,2.5,13900,0,7.96,71,11
"Sweet Potatoes (orange, fresh)",1230,23,40,160,430,289,9,8,0.88,1.12,6300,0,3,34,4
"Sweet Potatoes (white, dry)",3430,65,120,400,1200,804,23,21.22,2.31,2.67,0,0,7.95,77,12
"Sweet Potatoes (white, flour)",3430,65,120,400,1200,804,23,21.22,2.31,2.67,0,0,7.95,77,12
"Sweet Potatoes (white, fresh)",1170,22,40,150,410,274,8,7.61,0.83,1.07,0,0,2.85,33,4
Tilapia (dried),4130,865,0,930,430,0,26,159.51,2.57,1.59,0,61.2,6.27,0,13
Tilapia (fresh),960,201,0,240,100,0,6,39.03,0.63,0.41,0,15.8,1.62,0,3
Tomatoes,180,9,10,150,100,39,3,5.94,0.19,0.37,420,0,0.8,127,2
Waragi,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watermelon,300,6.1,4.00000006,30,70,75.5,2.4,1.78,0.21,0.33,280,0,0.45,81,1
Wheat (flour),3640,103,30,260,150,763,12,12.5,0.4,1.2,0,0,0.44,0,7
Yams (arrowroot),1180,15,40,230,170,279,5,5.52,0.32,1.12,70,0,2.93,171,2